title,views,length,video_id,publish_date,url
Matthew Cox: FBI Most Wanted Con Man - $55 Million in Bank Fraud | Lex Fridman Podcast #409,492392,21654,zMYvGf7BA9o,2024-01-17 00:00:00,https://www.youtube.com/watch?v=zMYvGf7BA9o
"Tal Wilkenfeld: Music, Guitar, Bass, Jeff Beck, Prince, and Leonard Cohen | Lex Fridman Podcast #408",348792,6608,9qfwPv7clEw,2024-01-09 00:00:00,https://www.youtube.com/watch?v=9qfwPv7clEw
"Guillaume Verdon: Beff Jezos, E/acc Movement, Physics, Computation & AGI | Lex Fridman Podcast #407",425861,10389,8fEEbKJoNbU,2023-12-29 00:00:00,https://www.youtube.com/watch?v=8fEEbKJoNbU
"Teddy Atlas: Mike Tyson, Cus D'Amato, Boxing, Loyalty, Fear & Greatness | Lex Fridman Podcast #406",461714,7749,CVx9IB_U9X4,2023-12-24 00:00:00,https://www.youtube.com/watch?v=CVx9IB_U9X4
Lee Cronin: Controversial Nature Paper on Evolution of Life and Universe | Lex Fridman Podcast #404,968485,11961,CGiDqhSdLHk,2023-12-09 00:00:00,https://www.youtube.com/watch?v=CGiDqhSdLHk
"Lisa Randall: Dark Matter, Theoretical Physics, and Extinction Events | Lex Fridman Podcast #403",413221,3564,VPaOy3G1-2A,2023-12-03 00:00:00,https://www.youtube.com/watch?v=VPaOy3G1-2A
Michael Malice: Thanksgiving Pirate Special | Lex Fridman Podcast #402,461060,5942,2yHr9DPnSzk,2023-11-25 00:00:00,https://www.youtube.com/watch?v=2yHr9DPnSzk
"John Mearsheimer: Israel-Palestine, Russia-Ukraine, China, NATO, and WW3 | Lex Fridman Podcast #401",4254984,12401,r4wLXNydzeY,2023-11-17 00:00:00,https://www.youtube.com/watch?v=r4wLXNydzeY
"Elon Musk: War, AI, Aliens, Politics, Physics, Video Games, and Humanity | Lex Fridman Podcast #400",7790782,8206,JN3KPFbWCy8,2023-11-09 00:00:00,https://www.youtube.com/watch?v=JN3KPFbWCy8
"Jared Kushner: Israel, Palestine, Hamas, Gaza, Iran, and the Middle East | Lex Fridman Podcast #399",1864152,13719,co_MeKSnyAo,2023-10-11 00:00:00,https://www.youtube.com/watch?v=co_MeKSnyAo
"Greg Lukianoff: Cancel Culture, Deplatforming, Censorship & Free Speech | Lex Fridman Podcast #397",602202,9118,buarAx_u2qg,2023-09-24 00:00:00,https://www.youtube.com/watch?v=buarAx_u2qg
"James Sexton: Divorce Lawyer on Marriage, Relationships, Sex, Lies & Love | Lex Fridman Podcast #396",3548397,13476,fUEjCXpOjPY,2023-09-17 00:00:00,https://www.youtube.com/watch?v=fUEjCXpOjPY
"Walter Isaacson: Elon Musk, Steve Jobs, Einstein, Da Vinci & Ben Franklin | Lex Fridman Podcast #395",1291116,7669,aGOV5R7M1Js,2023-09-10 00:00:00,https://www.youtube.com/watch?v=aGOV5R7M1Js
"Neri Oxman: Biology, Art, and Science of Design & Engineering with Nature | Lex Fridman Podcast #394",753618,8305,XbPHojL_61U,2023-09-01 00:00:00,https://www.youtube.com/watch?v=XbPHojL_61U
"Andrew Huberman: Relationships, Drama, Betrayal, Sex, and Love | Lex Fridman Podcast #393",1587112,7942,eTBAxD6lt2g,2023-08-17 00:00:00,https://www.youtube.com/watch?v=eTBAxD6lt2g
Georges St-Pierre vs Lex Fridman in Jiu Jitsu and MMA,1062283,810,Sfj0hBnfmmo,2023-08-06 00:00:00,https://www.youtube.com/watch?v=Sfj0hBnfmmo
"Joscha Bach: Life, Intelligence, Consciousness, AI & the Future of Humans | Lex Fridman Podcast #392",604853,10425,e8qJsk1j2zE,2023-08-01 00:00:00,https://www.youtube.com/watch?v=e8qJsk1j2zE
Lex Fridman speaks to Palestinians in the West Bank,2019659,545,dZWngkjrFxw,2023-07-29 00:00:00,https://www.youtube.com/watch?v=dZWngkjrFxw
Mohammed El-Kurd: Palestine | Lex Fridman Podcast #391,722160,8082,34wA_bdG6QQ,2023-07-24 00:00:00,https://www.youtube.com/watch?v=34wA_bdG6QQ
"Yuval Noah Harari: Human Nature, Intelligence, Power, and Conspiracies | Lex Fridman Podcast #390",1672691,9887,Mde2q7GFCrw,2023-07-17 00:00:00,https://www.youtube.com/watch?v=Mde2q7GFCrw
"Benjamin Netanyahu: Israel, Palestine, Power, Corruption, Hate, and Peace | Lex Fridman Podcast #389",1300211,4271,XpC7SVDXimg,2023-07-12 00:00:00,https://www.youtube.com/watch?v=XpC7SVDXimg
"Robert F. Kennedy Jr: CIA, Power, Corruption, War, Freedom, and Meaning | Lex Fridman Podcast #388",3218660,8917,NPtBkw5uD-0,2023-07-06 00:00:00,https://www.youtube.com/watch?v=NPtBkw5uD-0
"George Hotz: Tiny Corp, Twitter, AI Safety, Self-Driving, GPT, AGI & God | Lex Fridman Podcast #387",1315814,11326,dNrTrx42DGQ,2023-06-29 00:00:00,https://www.youtube.com/watch?v=dNrTrx42DGQ
Mark Zuckerberg vs Lex Fridman in Jiu Jitsu,1900126,724,1Wy-6z17up4,2023-06-25 00:00:00,https://www.youtube.com/watch?v=1Wy-6z17up4
"Marc Andreessen: Future of the Internet, Technology, and AI | Lex Fridman Podcast #386",1254715,11495,-hxeDjAxvJ8,2023-06-21 00:00:00,https://www.youtube.com/watch?v=-hxeDjAxvJ8
Jimmy Wales: Wikipedia | Lex Fridman Podcast #385,468021,11707,diJp4zoQPqo,2023-06-18 00:00:00,https://www.youtube.com/watch?v=diJp4zoQPqo
"Matthew McConaughey: Freedom, Truth, Family, Hardship, and Love | Lex Fridman Podcast #384",1532503,8340,8qgIFD0PaWo,2023-06-13 00:00:00,https://www.youtube.com/watch?v=8qgIFD0PaWo
"Mark Zuckerberg: Future of AI at Meta, Facebook, Instagram, and WhatsApp | Lex Fridman Podcast #383",1664873,9718,Ff4fRgnuFgQ,2023-06-08 00:00:00,https://www.youtube.com/watch?v=Ff4fRgnuFgQ
"Bert Kreischer: Comedy, Drinking, Rogan, Segura, Churchill & Kim Jong Un | Lex Fridman Podcast #382",525691,7684,8TmV6KEYkK0,2023-06-05 00:00:00,https://www.youtube.com/watch?v=8TmV6KEYkK0
Chris Lattner: Future of Programming and AI | Lex Fridman Podcast #381,1395168,12843,pdJQ8iVTwj8,2023-06-02 00:00:00,https://www.youtube.com/watch?v=pdJQ8iVTwj8
"Randall Kennedy: The N-Word - History of Race, Law, Politics, and Power | Lex Fridman Podcast #379",331522,11404,iFXGpKf9VBU,2023-05-24 00:00:00,https://www.youtube.com/watch?v=iFXGpKf9VBU
"Anna Frebel: Origin and Evolution of the Universe, Galaxies, and Stars | Lex Fridman Podcast #378",555960,8329,IQnUa5Bq5x4,2023-05-18 00:00:00,https://www.youtube.com/watch?v=IQnUa5Bq5x4
Harvey Silverglate: Freedom of Speech | Lex Fridman Podcast #377,166528,6672,DgTjSrrf6GQ,2023-05-15 00:00:00,https://www.youtube.com/watch?v=DgTjSrrf6GQ
"Stephen Wolfram: ChatGPT and the Nature of Truth, Reality & Computation | Lex Fridman Podcast #376",787556,15273,PdE-waSx-d8,2023-05-09 00:00:00,https://www.youtube.com/watch?v=PdE-waSx-d8
"David Pakman: Politics of Trump, Biden, Bernie, AOC, Socialism & Wokeism | Lex Fridman Podcast #375",950831,12663,2i31fDkaK9A,2023-05-06 00:00:00,https://www.youtube.com/watch?v=2i31fDkaK9A
Robert Playter: Boston Dynamics CEO on Humanoid and Legged Robotics | Lex Fridman Podcast #374,1008278,8878,cLVdsZ3I5os,2023-04-28 00:00:00,https://www.youtube.com/watch?v=cLVdsZ3I5os
Manolis Kellis: Evolution of Human Civilization and Superintelligent AI | Lex Fridman Podcast #373,620414,9028,wMavKrA-4do,2023-04-21 00:00:00,https://www.youtube.com/watch?v=wMavKrA-4do
"Simone Giertz: Queen of Sh*tty Robots, Innovative Engineering, and Design | Lex Fridman Podcast #372",341003,7153,OgIo36F6Fsg,2023-04-16 00:00:00,https://www.youtube.com/watch?v=OgIo36F6Fsg
Max Tegmark: The Case for Halting AI Development | Lex Fridman Podcast #371,1414100,10092,VcVfceTsD0A,2023-04-13 00:00:00,https://www.youtube.com/watch?v=VcVfceTsD0A
"Paul Rosolie: Amazon Jungle, Uncontacted Tribes, Anacondas, and Ayahuasca | Lex Fridman Podcast #369",8748474,12898,gPfriiHBBek,2023-04-04 00:00:00,https://www.youtube.com/watch?v=gPfriiHBBek
Eliezer Yudkowsky: Dangers of AI and the End of Human Civilization | Lex Fridman Podcast #368,1811244,11871,AaTRHFaaPG8,2023-03-30 00:00:00,https://www.youtube.com/watch?v=AaTRHFaaPG8
"Sam Altman: OpenAI CEO on GPT-4, ChatGPT, and the Future of AI | Lex Fridman Podcast #367",6207117,8636,L_Guz73e6fw,2023-03-25 00:00:00,https://www.youtube.com/watch?v=L_Guz73e6fw
"Shannon Curry: Johnny Depp & Amber Heard Trial, Marriage, Dating & Love | Lex Fridman Podcast #366",2314424,6402,qtOKrG_wK5A,2023-03-21 00:00:00,https://www.youtube.com/watch?v=qtOKrG_wK5A
"Sam Harris: Trump, Pandemic, Twitter, Elon, Bret, IDW, Kanye, AI & UFOs | Lex Fridman Podcast #365",1439736,16066,Qyrjgf-_Vdk,2023-03-14 00:00:00,https://www.youtube.com/watch?v=Qyrjgf-_Vdk
Chris Voss: FBI Hostage Negotiator | Lex Fridman Podcast #364,1565899,7817,8EguLJgkc54,2023-03-10 00:00:00,https://www.youtube.com/watch?v=8EguLJgkc54
"B-Team Jiu Jitsu: Craig Jones, Nicky Rod, and Nicky Ryan | Lex Fridman Podcast #363",1085193,10203,hLZ6PACCBy8,2023-03-06 00:00:00,https://www.youtube.com/watch?v=hLZ6PACCBy8
"Ginni Rometty: IBM CEO on Leadership, Power, and Adversity | Lex Fridman Podcast #362",473250,6735,XiCxj-bXu5M,2023-03-02 00:00:00,https://www.youtube.com/watch?v=XiCxj-bXu5M
Aaron Smith-Levin: Scientology | Lex Fridman Podcast #361,2904654,7987,J1lN9zkK_k0,2023-02-25 00:00:00,https://www.youtube.com/watch?v=J1lN9zkK_k0
"Tim Urban: Tribalism, Marxism, Liberalism, Social Justice, and Politics | Lex Fridman Podcast #360",1598246,11238,GkZz2I6sK08,2023-02-20 00:00:00,https://www.youtube.com/watch?v=GkZz2I6sK08
Lex Fridman plays Red Dead Redemption 2,897384,3676,U6-TaGK_d4o,2023-02-18 00:00:00,https://www.youtube.com/watch?v=U6-TaGK_d4o
"Andrew Strominger: Black Holes, Quantum Gravity, and Theoretical Physics | Lex Fridman Podcast #359",1914441,8374,y3cw_9ELpQw,2023-02-15 00:00:00,https://www.youtube.com/watch?v=y3cw_9ELpQw
"Aella: Sex Work, OnlyFans, Porn, Escorting, Dating, and Human Sexuality | Lex Fridman Podcast #358",1406607,14269,cFSrxSBrgSc,2023-02-10 00:00:00,https://www.youtube.com/watch?v=cFSrxSBrgSc
"Paul Conti: Narcissism, Sociopathy, Envy, and the Nature of Good and Evil | Lex Fridman Podcast #357",2773206,11847,jRBksDVs4tg,2023-02-07 00:00:00,https://www.youtube.com/watch?v=jRBksDVs4tg
"Tim Dodd: SpaceX, Starship, Rocket Engines, and Future of Space Travel | Lex Fridman Podcast #356",691984,18944,5eK5A_43pkE,2023-02-02 00:00:00,https://www.youtube.com/watch?v=5eK5A_43pkE
David Kipping: Alien Civilizations and Habitable Worlds | Lex Fridman Podcast #355,7901609,13629,uZN5xjoS6TU,2023-01-28 00:00:00,https://www.youtube.com/watch?v=uZN5xjoS6TU
"Jeremi Suri: Civil War, Slavery, Freedom, and Democracy | Lex Fridman Podcast #354",1766894,10793,GvX-heRWFfA,2023-01-25 00:00:00,https://www.youtube.com/watch?v=GvX-heRWFfA
Dennis Whyte: Nuclear Fusion and the Future of Energy | Lex Fridman Podcast #353,3949236,11287,aJoRMFWn2Jk,2023-01-21 00:00:00,https://www.youtube.com/watch?v=aJoRMFWn2Jk
Omar Suleiman: Islam | Lex Fridman Podcast #352,1905425,10972,BOKCNUqbpH0,2023-01-17 00:00:00,https://www.youtube.com/watch?v=BOKCNUqbpH0
"MrBeast: Future of YouTube, Twitter, TikTok, and Instagram | Lex Fridman Podcast #351",4666118,8266,Z3_PwvvfxIU,2023-01-11 00:00:00,https://www.youtube.com/watch?v=Z3_PwvvfxIU
1984 by George Orwell | Lex Fridman,1618249,3465,7Sk6lTLSZcA,2023-01-08 00:00:00,https://www.youtube.com/watch?v=7Sk6lTLSZcA
"Betül Kaçar: Origin of Life, Ancient DNA, Panspermia, and Aliens | Lex Fridman Podcast #350",934365,9618,NXU_M4030nE,2022-12-29 00:00:00,https://www.youtube.com/watch?v=NXU_M4030nE
Bhaskar Sunkara: Socialism and Communism | Lex Fridman Podcast #349,476714,13354,pNlfHgHJweQ,2022-12-22 00:00:00,https://www.youtube.com/watch?v=pNlfHgHJweQ
Nathalie Cabrol: Search for Alien Life | Lex Fridman Podcast #348,426288,7585,yyBosLx7bbM,2022-12-19 00:00:00,https://www.youtube.com/watch?v=yyBosLx7bbM
Michael Malice: Christmas Special | Lex Fridman Podcast #347,1291871,13253,NUkXluf3OYA,2022-12-15 00:00:00,https://www.youtube.com/watch?v=NUkXluf3OYA
Ed Calderon: Mexican Drug Cartels | Lex Fridman Podcast #346,1253907,14721,9PIOoJMMptA,2022-12-12 00:00:00,https://www.youtube.com/watch?v=9PIOoJMMptA
"Coffeezilla: SBF, FTX, Fraud, Scams, Fake Gurus, Money, Fame, and Power | Lex Fridman Podcast #345",6951989,13578,hi9Rf0oLdHk,2022-12-08 00:00:00,https://www.youtube.com/watch?v=hi9Rf0oLdHk
Noam Brown: AI vs Humans in Poker and Games of Strategic Negotiation | Lex Fridman Podcast #344,438809,8961,2oHH4aClJQs,2022-12-06 00:00:00,https://www.youtube.com/watch?v=2oHH4aClJQs
